"application_type";"IND_num";"studyID"
"IND";"IND110159";"2100-211"
"IND";"IND110179";"20096.001"
"IND";"IND110221";"1570385"
"IND";"IND110493";"AC08GN.7G8R.BTL"
"IND";"IND110493";"N110874"
"IND";"IND110724";"38447"
"IND";"IND111005";"1020-025"
"IND";"IND111006";"20142343"
"IND";"IND111006";"20142345"
"IND";"IND111006";"20200473"
"IND";"IND111006";"516886"
"IND";"IND111539";"1018-5242"
"IND";"IND111539";"1018-5361"
"IND";"IND111596";"8363190"
"IND";"IND111675";"2130-018"
"IND";"IND111675";"2130-025"
"IND";"IND111729";"7823TCR"
"IND";"IND111729";"D-16-01"
"IND";"IND111729";"D-17-01"
"IND";"IND111729";"D-18-01"
"IND";"IND111963";"U-19040"
"IND";"IND112026";"B-8486"
"IND";"IND112026";"MP18258"
"IND";"IND112595";"8002276"
"IND";"IND112595";"8002279"
"IND";"IND112608";"36788"
"IND";"IND112608";"36792"
"IND";"IND112630";"ND52KN"
"IND";"IND112914";"317009"
"IND";"IND112952";"8411577"
"IND";"IND112969";"2679-002"
"IND";"IND112969";"2679-009"
"IND";"IND112969";"2679-010"
"IND";"IND113140";"0436LP88_001"
"IND";"IND113322";"2051-052"
"IND";"IND113414";"8412975"
"IND";"IND113414";"8412977"
"IND";"IND113428";"20145214"
"IND";"IND113440";"20258704"
"IND";"IND113993";"20156602"
"IND";"IND114185";"62430"
"IND";"IND114319";"616060"
"IND";"IND114345";"TOX13114"
"IND";"IND114375";"AC08GN.7G8R.BTL"
"IND";"IND114386";"1018-6013"
"IND";"IND114728";"20145214"
"IND";"IND114780";"8001821"
"IND";"IND114780";"8001822"
"IND";"IND115008";"2326-007"
"IND";"IND115008";"PC-UTUC-Pig-027"
"IND";"IND115524";"HC45RP"
"IND";"IND115524";"JK46RW"
"IND";"IND115681";"8002505"
"IND";"IND115894";"20245868"
"IND";"IND116213";"2762-003"
"IND";"IND116345";"8417026"
"IND";"IND116345";"8417027"
"IND";"IND116360";"8420871"
"IND";"IND116360";"R-TOX-229"
"IND";"IND116360";"R-TOX-230"
"IND";"IND116375";"2517-005"
"IND";"IND116483";"8378472"
"IND";"IND116483";"8385936"
"IND";"IND116799";"1770580"
"IND";"IND116799";"1770594"
"IND";"IND116799";"1779010"
"IND";"IND116799";"1779011"
"IND";"IND117088";"37873"
"IND";"IND117316";"8410393"
"IND";"IND117316";"8410394"
"IND";"IND117536";"670077"
"IND";"IND117536";"670078"
"IND";"IND117668";"1570347"
"IND";"IND117668";"1570350"
"IND";"IND117668";"504933"
"IND";"IND117668";"504954"
"IND";"IND117879";"20138322"
"IND";"IND117879";"20138323"
"IND";"IND117924";"507473"
"IND";"IND117924";"507756"
"IND";"IND118152";"407-0043-TX"
"IND";"IND118188";"SN17922"
"IND";"IND118313";"PW37DS"
"IND";"IND118313";"YB09DF"
"IND";"IND118397";"8372843"
"IND";"IND118397";"8372845"
"IND";"IND118448";"1018-3563"
"IND";"IND118448";"46506TCS"
"IND";"IND118485";"8376256"
"IND";"IND118647";"1745-19200"
"IND";"IND118647";"20294931"
"IND";"IND118647";"20298318"
"IND";"IND118647";"8423242"
"IND";"IND118665";"111062-01-010"
"IND";"IND118757";"616060"
"IND";"IND118783";"8437418"
"IND";"IND118814";"2079-012"
"IND";"IND118814";"2079-013"
"IND";"IND118978";"8378218"
"IND";"IND118978";"8378219"
"IND";"IND118978";"8378220"
"IND";"IND118978";"8378221"
"IND";"IND118980";"295-199"
"IND";"IND119099";"YT14JL"
"IND";"IND119333";"5002582"
"IND";"IND119333";"BD81VF"
"IND";"IND119333";"L32295N"
"IND";"IND119361";"20163801"
"IND";"IND119361";"2271-009"
"IND";"IND119541";"ZYT-661"
"IND";"IND119541";"ZYT-779"
"IND";"IND119825";"20172903"
"IND";"IND119825";"8002159"
"IND";"IND119916";"8406699"
"IND";"IND119916";"8415019"
"IND";"IND120055";"8354968"
"IND";"IND120055";"8370321"
"IND";"IND120055";"8381487"
"IND";"IND120055";"8385061"
"IND";"IND120099";"8391724"
"IND";"IND120109";"2100-287"
"IND";"IND120157";"507536"
"IND";"IND120182";"TOX13440"
"IND";"IND120417";"8372228"
"IND";"IND120417";"8404411"
"IND";"IND120583";"1770788"
"IND";"IND120583";"18GR162"
"IND";"IND120583";"18GR171"
"IND";"IND120583";"18GR228"
"IND";"IND120825";"1870301"
"IND";"IND120825";"5003169"
"IND";"IND120825";"6700670"
"IND";"IND120825";"6700687"
"IND";"IND120850";"1745-18224"
"IND";"IND120850";"1745-18225"
"IND";"IND121211";"8309212"
"IND";"IND121234";"20110741"
"IND";"IND121267";"tt205601"
"IND";"IND121474";"519466"
"IND";"IND121474";"519467"
"IND";"IND121494";"2521-006"
"IND";"IND121494";"2521-007"
"IND";"IND121678";"0862-20085"
"IND";"IND121678";"20116117"
"IND";"IND121678";"20135657"
"IND";"IND121857";"5002637"
"IND";"IND121857";"5002723"
"IND";"IND121893";"8344372"
"IND";"IND121893";"8413534"
"IND";"IND121893";"8415205"
"IND";"IND121893";"8423177"
"IND";"IND121924";"20168750"
"IND";"IND121925";"367516"
"IND";"IND121925";"367517"
"IND";"IND121925";"569-0042-TX"
"IND";"IND121925";"569-0056-TX"
"IND";"IND121943";"2223-055"
"IND";"IND121943";"2223-056"
"IND";"IND121988";"2249-054"
"IND";"IND122165";"0436DO23_004"
"IND";"IND122165";"0460RO23_001"
"IND";"IND122165";"18-002-201K"
"IND";"IND122245";"20151357"
"IND";"IND122245";"8001758"
"IND";"IND122349";"8456292"
"IND";"IND122393";"DIV1995"
"IND";"IND122396";"SBL036-247"
"IND";"IND122396";"SBL036-261"
"IND";"IND122396";"TOX17-0025"
"IND";"IND122464";"392-0051-TX"
"IND";"IND122464";"392-0052-TX"
"IND";"IND122464";"392-0053-TX"
"IND";"IND122464";"392-0054-TX"
"IND";"IND122464";"78537"
"IND";"IND122464";"78539"
"IND";"IND122593";"65325"
"IND";"IND122593";"75716"
"IND";"IND122685";"8002655"
"IND";"IND122725";"20181108"
"IND";"IND122772";"8310211"
"IND";"IND122925";"DEC0004"
"IND";"IND122925";"T-18_020"
"IND";"IND122925";"T-18_021"
"IND";"IND122952";"20195775"
"IND";"IND122952";"20219628"
"IND";"IND123007";"18-6009"
"IND";"IND123007";"tt196000"
"IND";"IND123295";"1510007"
"IND";"IND123295";"1510009"
"IND";"IND123295";"1510010"
"IND";"IND123295";"1510015"
"IND";"IND123599";"8380709"
"IND";"IND123740";"5701158"
"IND";"IND123874";"ADX-102-SRC-T-002"
"IND";"IND123877";"B-8510"
"IND";"IND123877";"SBL303-205"
"IND";"IND123877";"SBL303-206"
"IND";"IND124184";"1933-015"
"IND";"IND124184";"1933-016"
"IND";"IND124184";"1933-017"
"IND";"IND124184";"1933-020"
"IND";"IND124184";"1933-021"
"IND";"IND124184";"1933-022"
"IND";"IND124185";"2435-019"
"IND";"IND124185";"2435-020"
"IND";"IND124185";"2435-030"
"IND";"IND124185";"2435-031"
"IND";"IND124194";"2847-001"
"IND";"IND124255";"8397925"
"IND";"IND124255";"8404857"
"IND";"IND124264";"2057-013"
"IND";"IND124264";"8002668"
"IND";"IND124275";"1026-G607612"
"IND";"IND124275";"2741-G607612"
"IND";"IND124275";"3563-100068582"
"IND";"IND124275";"AP07-035"
"IND";"IND124275";"AP-09-002"
"IND";"IND124275";"FY09-012_MS11A"
"IND";"IND124275";"FY09-012_MS11B"
"IND";"IND124275";"FY14-048"
"IND";"IND124279";"2769-005"
"IND";"IND124514";"20173007"
"IND";"IND124645";"8397925"
"IND";"IND124645";"8404857"
"IND";"IND124763";"20084390"
"IND";"IND124763";"20084391"
"IND";"IND124806";"20218806"
"IND";"IND124865";"20177251"
"IND";"IND124865";"8002541"
"IND";"IND124883";"14901.03.01"
"IND";"IND125295";"SIA01-18"
"IND";"IND125297";"20149580"
"IND";"IND125297";"20159829"
"IND";"IND125297";"8002738"
"IND";"IND125297";"DN19056"
"IND";"IND125335";"G18253"
"IND";"IND125361";"8398768"
"IND";"IND125361";"D32162N"
"IND";"IND125361";"R32255N"
"IND";"IND125381";"20128651"
"IND";"IND125381";"20146006"
"IND";"IND125412";"3091-001"
"IND";"IND125412";"3091-002"
"IND";"IND125412";"3091-003"
"IND";"IND125423";"8411250"
"IND";"IND125423";"8411251"
"IND";"IND125444";"20119229"
"IND";"IND125471";"31264"
"IND";"IND125471";"8376859"
"IND";"IND125471";"8376885"
"IND";"IND125566";"AP-17-036G"
"IND";"IND125639";"B-8259"
"IND";"IND125639";"B-8261"
"IND";"IND125639";"C-B801"
"IND";"IND125639";"C-B802"
"IND";"IND125644";"8426493"
"IND";"IND125708";"1352001"
"IND";"IND125708";"1352002"
"IND";"IND125731";"DDC0143"
"IND";"IND125731";"TSA1550"
"IND";"IND125731";"TXC1555"
"IND";"IND125833";"20151357"
"IND";"IND125833";"8001758"
"IND";"IND125927";"19-1124"
"IND";"IND125927";"SN18973"
"IND";"IND125927";"SN18974"
"IND";"IND125935";"1217005"
"IND";"IND125935";"69029"
"IND";"IND126032";"KM30JV"
"IND";"IND126094";"8002164"
"IND";"IND126097";"519491"
"IND";"IND126097";"519492"
"IND";"IND126120";"1670175"
"IND";"IND126120";"1670176"
"IND";"IND126182";"1021-0341"
"IND";"IND126182";"1021-0372"
"IND";"IND126182";"1021-2871"
"IND";"IND126236";"D31963N"
"IND";"IND126236";"LQ60KX"
"IND";"IND126236";"XV37BC"
"IND";"IND126239";"532-0004-TX"
"IND";"IND126239";"532-0005-TX"
"IND";"IND126353";"5002722"
"IND";"IND126396";"B180779"
"IND";"IND126472";"20112537"
"IND";"IND126487";"12237"
"IND";"IND126487";"12550"
"IND";"IND126487";"12551"
"IND";"IND126501";"20180015TRPB"
"IND";"IND126501";"20180016TCPB"
"IND";"IND126602";"8408281"
"IND";"IND126657";"20143611"
"IND";"IND126721";"8002337"
"IND";"IND126721";"8002338"
"IND";"IND126721";"8002352"
"IND";"IND126721";"8002353"
"IND";"IND126721";"8002394"
"IND";"IND126765";"8380254"
"IND";"IND126789";"863-542"
"IND";"IND126944";"0460DS116_002"
"IND";"IND126944";"0460LS116_001"
"IND";"IND126944";"0470DS116_004"
"IND";"IND126944";"0470LS116_003"
"IND";"IND127168";"2305-070"
"IND";"IND127168";"2305-071"
"IND";"IND127168";"2305-074"
"IND";"IND127168";"2305-075"
